DOI,Author,PubDate,ISO3,YCoord,XCoord,StartDate,EndDate,Species,SampleType,SampleOrigin,Method,Pathogens,Strain,Nsamples,Prev,NIsolates,Compound,ATC.Code,Rescom,Concg,Guidelines,Breakpoint,Remark,Class,WHO_MedImp
10.3389/fmicb.2017.02106,Li,2017,CHN,36.1853,117.12,01.03.16,01.06.16,Chicken,Meat,NA,DD,Salmonella,NA,200,20,40,AMC,J01CR02,0,30,CLSI 2013 M100-S23,NA,NA,Aminopenicillins with Beta-Lactamase Inhibitors,Critically important
10.3389/fmicb.2017.02106,Li,2017,CHN,36.1853,117.12,01.03.16,01.06.16,Chicken,Meat,NA,DD,Salmonella,NA,200,20,40,AMP,J01CA01,95,10,CLSI 2013 M100-S23,NA,NA,Aminopenicillins,Critically important
10.3389/fmicb.2017.02106,Li,2017,CHN,36.1853,117.12,01.03.16,01.06.16,Chicken,Meat,NA,DD,Salmonella,NA,200,20,40,CTX,J01DD01,53,30,CLSI 2013 M100-S23,NA,NA,3rd Generation Cephalosporin,Critically important
10.3389/fmicb.2017.02106,Li,2017,CHN,36.1853,117.12,01.03.16,01.06.16,Chicken,Meat,NA,DD,Salmonella,NA,200,20,40,CIP,J01MA02,38,5,CLSI 2013 M100-S23,NA,NA,Quinolones,Critically important
10.3389/fmicb.2017.02106,Li,2017,CHN,36.1853,117.12,01.03.16,01.06.16,Chicken,Meat,NA,DD,Salmonella,NA,200,20,40,FFC,QJ01BA90,28,30,CLSI 2013 M100-S23,NA,NA,Amphenicols,Highly important
10.3389/fmicb.2017.02106,Li,2017,CHN,36.1853,117.12,01.03.16,01.06.16,Chicken,Meat,NA,DD,Salmonella,NA,200,20,40,GEN,J01GB03,30,10,CLSI 2013 M100-S23,NA,NA,Aminoglycosides,Critically important
10.3389/fmicb.2017.02106,Li,2017,CHN,36.1853,117.12,01.03.16,01.06.16,Chicken,Meat,NA,DD,Salmonella,NA,200,20,40,NAL,J01MB02,93,10,CLSI 2013 M100-S23,NA,NA,Quinolones,Critically important
10.3389/fmicb.2017.02106,Li,2017,CHN,36.1853,117.12,01.03.16,01.06.16,Chicken,Meat,NA,DD,Salmonella,NA,200,20,40,SPT,J01XX04,8,10,CLSI 2013 M100-S23,NA,NA,Aminocyclitols,Important
10.3389/fmicb.2017.02106,Li,2017,CHN,36.1853,117.12,01.03.16,01.06.16,Chicken,Meat,NA,DD,Salmonella,NA,200,20,40,SXT,J01EE01,0,25,CLSI 2013 M100-S23,NA,NA,"Sulfonamides, Trimethoprim and Combinations",Highly important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,AMC,J01CR02,0,30,CLSI 2013 M100-S23,NA,double,Aminopenicillins with Beta-Lactamase Inhibitors,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,AMP,J01CA01,62,10,CLSI 2013 M100-S23,NA,double,Aminopenicillins,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,CTX,J01DD01,0,30,CLSI 2013 M100-S23,NA,double,3rd Generation Cephalosporin,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,CIP,J01MA02,0,5,CLSI 2013 M100-S23,NA,double,Quinolones,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,FFC,QJ01BA90,0,30,CLSI 2013 M100-S23,NA,double,Amphenicols,Highly important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,GEN,J01GB03,8,10,CLSI 2013 M100-S23,NA,double,Aminoglycosides,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,NAL,J01MB02,8,30,CLSI 2013 M100-S23,NA,double,Quinolones,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,SPT,J01XX04,0,10,CLSI 2013 M100-S23,NA,double,Aminocyclitols,Important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,TET,J01AA07,92,30,CLSI 2013 M100-S23,NA,double,Tetracyclines,Highly important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,37.51,122.12,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,SXT,J01EE01,0,25,CLSI 2013 M100-S23,NA,double,"Sulfonamides, Trimethoprim and Combinations",Highly important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,AMC,J01CR02,0,30,CLSI 2013 M100-S23,NA,double,Aminopenicillins with Beta-Lactamase Inhibitors,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,AMP,J01CA01,56,10,CLSI 2013 M100-S23,NA,double,Aminopenicillins,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,CTX,J01DD01,0,30,CLSI 2013 M100-S23,NA,double,3rd Generation Cephalosporin,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,CIP,J01MA02,0,5,CLSI 2013 M100-S23,NA,double,Quinolones,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,FFC,QJ01BA90,33,30,CLSI 2013 M100-S23,NA,double,Amphenicols,Highly important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,GEN,J01GB03,11,10,CLSI 2013 M100-S23,NA,double,Aminoglycosides,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,NAL,J01MB02,22,30,CLSI 2013 M100-S23,NA,double,Quinolones,Critically important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,SPT,J01XX04,44,10,CLSI 2013 M100-S23,NA,double,Aminocyclitols,Important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,TET,J01AA07,100,30,CLSI 2013 M100-S23,NA,double,Tetracyclines,Highly important
10.3389/fmicb.2017.01049,Zhao,2017,CHN,35.91,117.01,01.03.16,01.07.16,Pig,LivingAnimal,NA,DD_PCR,Salmonella,NA,600,8,49,SXT,J01EE01,0,25,CLSI 2013 M100-S23,NA,double,"Sulfonamides, Trimethoprim and Combinations",Highly important
